Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect
img_27.jpg,phase2,80.9292,1.0,0.0005,0.0,897.3481221942359,889.1603391323304,less detectable by 8.18778306190552,4498.258260299786,4497.200131811844,less detectable by 1.0581284879426676,2181.328187573735,2174.6224656241875,less detectable by 6.705721949547296
img_27.jpg,phase3,90.5236,1.0,0.0001,0.0,897.3481221942359,895.337477987258,less detectable by 2.0106442069778723,4498.258260299786,4498.645872957573,more detectable by 0.3876126577870309,2181.328187573735,2182.0325647005966,more detectable by 0.7043771268618002
img_27.jpg,phase4_1,89.7144,1.0,0.0001,0.0,897.3481221942359,897.658316799552,more detectable by 0.3101946053161555,4498.258260299786,4497.0950964112835,less detectable by 1.1631638885028224,2181.328187573735,2179.621236196308,less detectable by 1.7069513774267762
img_27.jpg,phase4_2,86.7478,1.0,0.0001,-0.0,897.3481221942359,897.2676127975074,less detectable by 0.08050939672853019,4498.258260299786,4498.7424148490545,more detectable by 0.4841545492681689,2181.328187573735,2181.707307191586,more detectable by 0.3791196178513019
img_27.jpg,phase4_3,86.7478,1.0,0.0001,-0.0,897.3481221942359,896.6867736603442,less detectable by 0.6613485338916689,4498.258260299786,4499.401690832037,more detectable by 1.1434305322509317,2181.328187573735,2181.328187573735,equal
img_27.jpg,phase4_4,86.7478,1.0,0.0001,-0.0,897.3481221942359,896.8291733957026,less detectable by 0.5189487985333017,4498.258260299786,4498.166656405947,less detectable by 0.09160389383941947,2181.328187573735,2183.0531710357855,more detectable by 1.724983462050659
img_28.jpg,phase1,88.9226,1.0,0.0001,0.0,1074.7508370791536,1073.4817172224245,less detectable by 1.2691198567290485,971.8735184141134,973.1430841565907,more detectable by 1.2695657424773117,2550.990513936171,2550.096526487073,less detectable by 0.8939874490979491
img_28.jpg,phase2,79.7786,1.0,0.0007,0.0,1074.7508370791536,1070.4442554305576,less detectable by 4.306581648595966,971.8735184141134,973.6891774141659,more detectable by 1.8156590000525057,2550.990513936171,2551.655320511877,more detectable by 0.6648065757062795
img_28.jpg,phase3,88.9711,1.0,0.0001,0.0,1074.7508370791536,1075.8751146487975,more detectable by 1.1242775696439367,971.8735184141134,972.7388986350816,more detectable by 0.8653802209681771,2550.990513936171,2547.818156598114,less detectable by 3.172357338056827
img_28.jpg,phase4_1,88.9711,1.0,0.0001,0.0,1074.7508370791536,1075.6572430345611,more detectable by 0.9064059554075357,971.8735184141134,972.0481144829519,more detectable by 0.17459606883846845,2550.990513936171,2550.5764113916193,less detectable by 0.414102544551497
img_28.jpg,phase4_2,85.7699,1.0,0.0002,0.0,1074.7508370791536,1074.5510936952774,less detectable by 0.19974338387623902,971.8735184141134,973.092375709602,more detectable by 1.2188572954886467,2550.990513936171,2551.150405908733,more detectable by 0.15989197256203624
